2025-01-18 20:48:00,381 - INFO - Parsed 285335 classes from D:\git\mission_checker\data\ConfigExtract_pcanext.ini
2025-01-18 20:48:00,390 - INFO - 
INIDB Config Analysis:
2025-01-18 20:48:00,391 - INFO - Found 92 base class definitions
2025-01-18 20:49:44,100 - ERROR - Error parsing INIDBI data: ClassName,Source,Category,Parent,InheritsFrom,IsSimpleObject,NumProperties,Scope,Model - 'Source'
2025-01-18 20:49:44,107 - ERROR - Error parsing INIDBI data: NIArms_ACR,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,108 - ERROR - Error parsing INIDBI data: NIArms_AK,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,108 - ERROR - Error parsing INIDBI data: NIArms_AR15,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,108 - ERROR - Error parsing INIDBI data: NIArms_AUG,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,108 - ERROR - Error parsing INIDBI data: NIArms_FAL,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,108 - ERROR - Error parsing INIDBI data: Niarms_AWC,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,108 - ERROR - Error parsing INIDBI data: Niarms_FN3011,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,108 - ERROR - Error parsing INIDBI data: NIArms_G36,@niarsenal,CfgMods,CfgMods,,false,10,0, - 'Source'
2025-01-18 20:49:44,109 - ERROR - Error parsing INIDBI data: NIArms_G3,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,109 - ERROR - Error parsing INIDBI data: Niarms_M14,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,109 - ERROR - Error parsing INIDBI data: Niarms_M60,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,109 - ERROR - Error parsing INIDBI data: Niarms_MG3,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,109 - ERROR - Error parsing INIDBI data: Niarms_M134,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,109 - ERROR - Error parsing INIDBI data: NIArms_MP5,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,110 - ERROR - Error parsing INIDBI data: Niarms_P226,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,110 - ERROR - Error parsing INIDBI data: NIArms_SAW,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,110 - ERROR - Error parsing INIDBI data: Niarms_SG510,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
